Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Martinique,Americas,211572,56379.359,1714,456.744,0,998,265.945,6,1.599,0
Lao People's Democratic Republic,Western Pacific,211441,2906.182,478,6.57,66,757,10.405,0,0,0
Brunei Darussalam,Western Pacific,211157,48266.774,4997,1142.226,0,122,27.887,0,0,0
Kyrgyzstan,Europe,203776,3123.391,1091,16.722,0,2991,45.845,0,0,0
Iceland,Europe,202502,55611.945,717,196.906,0,179,49.158,0,0,0
El Salvador,Americas,190818,2941.905,9848,151.83,0,4204,64.814,14,0.216,3
Afghanistan,Eastern Mediterranean,186393,478.81,1121,2.88,237,7752,19.914,9,0.023,0
Guadeloupe,Americas,186380,46580.56,3362,840.24,0,971,242.675,6,1.5,0
Maldives,South-East Asia,184485,34129.507,183,33.855,0,307,56.795,0,0,0
Trinidad and Tobago,Americas,171679,12267.272,1220,87.175,89,4054,289.677,8,0.572,1
Uganda,Africa,168390,368.138,141,0.308,0,3627,7.929,0,0,0
Ghana,Africa,168127,541.072,120,0.386,0,1457,4.689,0,0,0
Namibia,Africa,166467,6551.485,0,0,0,4072,160.258,0,0,0
Jamaica,Americas,146608,4951.021,805,27.185,67,3198,107.998,12,0.405,3
Cambodia,Western Pacific,136908,818.878,257,1.537,40,3056,18.279,0,0,0
Rwanda,Africa,132285,1021.331,49,0.378,0,1466,11.319,0,0,0
Cameroon,Africa,120215,452.858,0,0,0,1931,7.274,0,0,0
Malta,Europe,113120,21983.66,489,95.032,64,795,154.5,3,0.583,0
Angola,Africa,102301,311.264,0,0,0,1912,5.818,0,0,0
French Guiana,Americas,92575,30994.503,763,255.456,0,407,136.265,3,1.004,0
Barbados,Americas,92516,32193.475,1966,684.124,215,495,172.249,11,3.828,0
Democratic Republic of the Congo,Africa,92173,102.916,0,0,0,1390,1.552,0,0,0
Senegal,Africa,87423,522.118,229,1.368,0,1968,11.754,0,0,0
Malawi,Africa,87365,456.692,42,0.22,0,2664,13.926,1,0.005,0
Côte d’Ivoire,Africa,85444,323.918,389,1.475,0,811,3.074,1,0.004,0
Suriname,Americas,80982,13804.566,16,2.727,16,1380,235.241,0,0,0
French Polynesia,Western Pacific,75654,26931.949,397,141.327,0,649,231.036,0,0,0
Eswatini,Africa,73284,6316.693,17,1.465,0,1417,122.138,0,0,0
New Caledonia,Western Pacific,71073,24894.395,1277,447.289,0,314,109.983,0,0,0
Guyana,Americas,69846,8880.023,299,38.014,12,1271,161.591,0,0,0
Fiji,Western Pacific,67673,7549.041,329,36.701,0,873,97.385,3,0.335,0
Belize,Americas,67111,16877.836,254,63.879,0,680,171.014,0,0,0
Madagascar,Africa,66491,240.118,75,0.271,0,1408,5.085,1,0.004,0
Sudan,Eastern Mediterranean,63074,143.843,27,0.062,0,4958,11.307,0,0,0
Mauritania,Africa,62540,1345.045,83,1.785,0,991,21.313,0,0,0
Cabo Verde,Africa,62172,11182.276,58,10.432,0,410,73.743,0,0,0
Bhutan,South-East Asia,60530,7844.657,58,7.517,0,21,2.722,0,0,0
Jersey,Europe,58003,53808.119,55,51.022,0,133,123.381,1,0.928,0
Syrian Arab Republic,Eastern Mediterranean,56419,322.382,205,1.171,33,3150,17.999,0,0,0
Gabon,Africa,48511,2179.551,0,0,0,306,13.748,0,0,0
Burundi,Africa,46275,389.167,967,8.132,0,15,0.126,0,0,0
Guam,Western Pacific,46181,27362.465,819,485.261,0,381,225.744,1,0.593,0
Andorra,Europe,45793,59267.456,285,368.86,285,154,199.314,1,1.294,1
Seychelles,Africa,45540,46305.429,111,112.866,0,168,170.824,0,0,0
Curaçao,Americas,45063,27461.866,0,0,0,282,171.854,0,0,0
Papua New Guinea,Western Pacific,44798,500.703,22,0.246,0,663,7.41,0,0,0
Aruba,Americas,42286,39606.242,206,192.945,0,226,211.678,2,1.873,0
Mayotte,Africa,39344,14421.494,698,255.851,0,187,68.545,0,0,0
Togo,Africa,38092,460.119,62,0.749,0,280,3.382,1,0.012,0
United Republic of Tanzania,Africa,37865,63.389,536,0.897,0,841,1.408,0,0,0
Isle of Man,Europe,37794,44446.797,98,115.251,0,114,134.067,0,0,0
Guinea,Africa,37408,284.844,0,0,0,445,3.388,0,0,0
Bahamas,Americas,36740,9342.8,107,27.21,0,822,209.031,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34040,1588.984,0,0,0,702,32.769,0,0,0
Haiti,Americas,32296,283.235,0,0,0,838,7.349,0,0,0
Mali,Africa,31230,154.216,13,0.064,0,739,3.649,2,0.01,0
Guernsey,Europe,30198,46841.844,274,425.017,0,60,93.069,6,9.307,0
Cayman Islands,Americas,29419,44764.151,310,471.698,310,29,44.127,0,0,0
Saint Lucia,Americas,27966,15229.786,211,114.907,0,385,209.664,0,0,0
Benin,Africa,27316,225.32,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27020,170.01,63,0.396,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23027,1746.527,31,2.351,3,133,10.088,0,0,0
United States Virgin Islands,Americas,21869,20942.303,192,183.864,0,121,115.873,1,0.958,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
San Marino,Europe,19983,58880.9,184,542.165,12,118,347.693,0,0,0
Gibraltar,Europe,19938,59179.009,36,106.853,0,105,311.656,0,0,0
Grenada,Americas,18786,16695.253,18,15.997,0,234,207.957,0,0,0
Liechtenstein,Europe,18744,48375.358,105,270.989,0,85,219.372,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Bermuda,Americas,17193,27609.076,0,0,0,144,231.24,0,0,0
Equatorial Guinea,Africa,16741,1193.242,18,1.283,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Samoa,Western Pacific,15405,7764.069,0,0,0,29,14.616,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Nicaragua,Americas,14807,223.517,0,0,0,244,3.683,0,0,0
Central African Republic,Africa,14772,305.853,0,0,0,113,2.34,0,0,0
Monaco,Europe,14157,36074.304,106,270.105,19,61,155.438,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,12732,22120.68,156,271.036,0,38,66.022,1,1.737,0
Tonga,Western Pacific,12554,11877.572,15,14.192,0,12,11.353,0,0,0
Gambia,Africa,12149,502.717,34,1.407,0,368,15.228,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11877,39.821,28,0.094,0,2151,7.212,2,0.007,0
Vanuatu,Western Pacific,11730,3819.043,6,1.953,0,14,4.558,0,0,0
Saint Martin,Americas,11667,30179.26,132,341.447,0,46,118.989,0,0,0
Sint Maarten,Americas,10765,25103.773,24,55.968,0,87,202.882,0,0,0
Eritrea,Africa,10074,284.061,94,2.651,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9378,8453.218,48,43.267,8,115,103.66,0,0,0
Niger,Africa,9115,37.655,4,0.017,0,311,1.285,0,0,0
Bonaire,Americas,9109,43552.474,41,196.032,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8773,8958.531,32,32.677,0,144,147.045,0,0,0
Guinea-Bissau,Africa,8440,428.862,0,0,0,174,8.841,0,0,0
Comoros,Africa,8329,957.796,14,1.61,0,160,18.399,0,0,0
American Samoa,Western Pacific,7952,14406.58,186,336.975,0,33,59.786,0,0,0
Sierra Leone,Africa,7734,96.954,3,0.038,0,125,1.567,0,0,0
Liberia,Africa,7538,149.041,0,0,0,294,5.813,0,0,0
Chad,Africa,7437,45.276,5,0.03,0,193,1.175,0,0,0
British Virgin Islands,Americas,7131,23583.689,0,0,0,63,208.354,0,0,0
Saint Kitts and Nevis,Americas,6467,12157.843,18,33.84,5,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6328,16343.819,49,126.556,25,36,92.98,0,0,0
Micronesia (Federated States of),Western Pacific,6291,5469.341,3522,3061.996,270,11,9.563,7,6.086,1
Cook Islands,Western Pacific,6122,34855.386,143,814.165,9,1,5.693,0,0,0
Sao Tome and Principe,Africa,6115,2790.212,15,6.844,0,75,34.222,1,0.456,0
Palau,Western Pacific,5234,28929.914,14,77.382,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5138,51977.744,83,839.656,0,5,50.582,0,0,0
Nauru,Western Pacific,4407,40677.497,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3620,24130.116,40,266.631,40,10,66.658,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3112,53701.467,29,500.431,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1847,53028.998,8,229.687,8,0,0,0,0,0
Sint Eustatius,Americas,1114,35489.009,0,0,0,5,159.286,0,0,0
Montserrat,Americas,1068,21364.273,23,460.092,14,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,674,34868.081,22,1138.127,0,2,103.466,0,0,0
Marshall Islands,Western Pacific,66,111.498,7,11.826,0,0,0,0,0,0
Niue,Western Pacific,55,3399.258,25,1545.117,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,8,67.843,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
